idx,model,e,se,sweep,orca,sfm,linear,static,scenario,dx_lo,dx_hi,dy_lo,dy_hi,spawn_width_x,spawn_width_y,human_count,mix_label,success_rate,success_std,collision_rate,collision_std,timeout_rate,timeout_std,avg_nav_time,nav_time_std,avg_min_dist,min_dist_std,avg_accel,avg_accel_std,avg_min_dist_overall,min_dist_overall_std,avg_path_irregularity,avg_path_irregularity_std,density_x,geometry_x
0,RGL,0,0,density,2,3,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,5,O2/SF3/L0/S0,0.968,0.17600000000000007,0.032,0.176,0.0,0.0,11.510330578512397,3.129256884796838,1.8918648164059992,0.1855489984613618,1.7265233489048073,0.04627610095147035,0.8993176484002624,0.2600340855762593,2.3887509597149235,1.0070963443119414,0.05,10.0
1,RGL,0,1,density,5,5,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,10,O5/SF5/L0/S0,0.97,0.17058722109231989,0.03,0.1705872210923198,0.0,0.0,10.940721649484535,2.0850391216991198,1.4212842943251334,0.0965302709075527,1.767550435883227,0.07795037694491679,0.7844795069824704,0.118490349389403,2.273618498692371,0.8128753550575818,0.1,10.0
2,RGL,0,2,density,7,8,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.952,0.2137662274541983,0.048,0.2137662274541982,0.0,0.0,11.640231092436975,2.4932480564448527,1.1825152416272822,0.14352558006607113,1.9352947068270727,0.04235772863575598,0.7326640096307422,0.07631227458998967,2.555414007053755,0.8410372242321688,0.15,10.0
3,RGL,0,3,density,10,10,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,20,O10/SF10/L0/S0,0.906,0.29182871688714934,0.094,0.2918287168871494,0.0,0.0,12.303532008830022,2.5913825389362093,1.0066264030057446,0.2103542015235179,2.0405084379828295,0.04735053914756569,0.7046064100113035,0.06913971878741275,2.825788279245366,0.848101726263557,0.2,10.0
4,RGL,0,4,density,12,13,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,25,O12/SF13/L0/S0,0.826,0.3791094828674166,0.174,0.3791094828674165,0.0,0.0,13.111380145278451,2.9259945902500184,0.8672270528018813,0.4424456040681358,2.2240003374218613,0.04465372217402404,0.6809057678181966,0.05883730031952581,3.077562036769548,0.853795356519801,0.25,10.0
5,RGL,0,5,density,15,15,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,30,O15/SF15/L0/S0,0.756,0.42949272403615874,0.244,0.42949272403615874,0.0,0.0,13.787698412698413,3.3362686669451262,0.7401510566965491,0.576184891082856,2.257116259493427,0.030990860749439176,0.6656850989259414,0.05252089491394454,3.2672086899977475,0.9173435645862513,0.3,10.0
6,RGL,0,6,density,17,18,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,35,O17/SF18/L0/S0,0.656,0.4750410508577127,0.344,0.4750410508577127,0.0,0.0,14.739329268292684,4.146180894936158,0.607915623414812,0.7848517751105729,2.3203717391262133,0.05679736922897303,0.6548437758362635,0.04409341719478578,3.513962954674933,1.0092414623800614,0.35,10.0
7,RGL,1,0,geometry,1,2,0,0,passing_crossing,-0.75,0.75,-5,5,1.5,10,3,O1/SF2/L0/S0,0.25,0.4330127018922193,0.75,0.4330127018922193,0.0,0.0,16.926,5.244332560011807,0.40612353661519307,5.99418033807238,2.3228482147942175,0.03556891081724805,0.6363560226461993,0.034751549982158174,5.031308300627112,1.388840294789121,0.03,1.5
8,RGL,1,1,geometry,2,2,0,0,passing_crossing,-1.0,1.0,-5,5,2.0,10,4,O2/SF2/L0/S0,0.47,0.4990991885387112,0.53,0.4990991885387112,0.0,0.0,14.557446808510639,4.082513028778889,0.690226736712077,2.350460261399849,2.0816013468536396,0.08730031866769712,0.6604380627398758,0.06820793279613843,4.350921648913802,1.4446141765816125,0.04,2.0
9,RGL,1,2,geometry,2,3,0,0,passing_crossing,-1.25,1.25,-5,5,2.5,10,5,O2/SF3/L0/S0,0.542,0.4982328772772828,0.458,0.4982328772772829,0.0,0.0,14.398523985239853,3.9928253966268903,0.7672502615308028,1.9086530417688206,2.190344883030148,0.05000015923472031,0.6848939002810237,0.07825093872867471,4.185981298260356,1.3558081916765614,0.05,2.5
